No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
28   1:06:30.699    6:20:13.103    6:20:17.176    4.073      4.073      Paused by player, Unpause by player
29   1:06:31.299    6:20:17.766    6:20:28.696    10.930     10.930     Paused by player, Unpause by player
30   1:06:32.199    6:20:29.558    6:20:30.365    0.807      0.807      Paused by player, Unpause by player
31   1:06:34.699    6:20:32.819    6:20:35.351    2.532      2.532      Paused by player, Unpause by player
32   1:06:36.499    6:20:37.124    6:20:37.941    0.817      0.817      Paused by player, Unpause by player
33   1:06:37.249    6:20:38.648    6:20:52.270    13.622     13.622     Paused by player, Unpause by player
34   1:06:40.749    6:20:55.758    6:21:10.132    14.374     14.374     Paused by player, Unpause by player
35   1:06:44.999    6:21:14.341    6:21:14.835    0.494      0.494      Paused by player, Unpause by player
0    1:06:55.999    6:21:25.807    23:37:10.585   62144.778             Paused by player, Unpause by rendered
1    1:06:56.563    23:37:11.182   23:37:11.438   0.256      0.256      Paused by player, Unpause by player
2    1:07:06.263    23:37:21.142   23:37:21.937   0.795      0.795      Paused by player, Unpause by player
3    1:07:06.563    23:37:22.243   23:37:23.905   1.662      1.662      Paused by player, Unpause by player
4    1:08:05.713    23:38:23.048   23:38:26.342   3.294      3.294      Paused by player, Unpause by player
5    1:09:21.263    23:39:41.887   23:39:45.193   3.306      3.306      Paused by player, Unpause by player
6    1:09:35.613    23:39:59.514   23:40:04.653   5.139      5.139      Paused by player, Unpause by player
7    1:09:45.263    23:40:14.288   23:40:20.748   6.460      6.460      Paused by player, Unpause by player
8    1:09:48.263    23:40:23.730   23:40:25.615   1.885      1.885      Paused by player, Unpause by player
9    1:09:50.963    23:40:28.315   23:40:34.194   5.879      5.879      Paused by player, Unpause by player
10   1:09:54.663    23:40:37.867   23:40:50.108   12.241     12.241     Paused by player, Unpause by player
11   1:09:56.513    23:40:51.936   23:40:56.818   4.882      4.882      Paused by player, Unpause by player
12   1:09:57.013    23:40:57.318   23:40:59.763   2.445      2.445      Paused by player, Unpause by player
13   1:10:00.213    23:41:02.916   23:41:03.850   0.934      0.934      Paused by player, Unpause by player
14   1:10:03.563    23:41:07.168   23:41:17.539   10.371     10.371     Paused by player, Unpause by player
15   1:10:08.963    23:41:22.940   23:41:25.143   2.203      2.203      Paused by player, Unpause by player
16   1:10:09.213    23:41:25.388   23:41:27.557   2.169      2.169      Paused by player, Unpause by player
17   1:10:10.263    23:41:28.586   23:41:30.994   2.408      2.408      Paused by player, Unpause by player
18   1:10:14.363    23:41:35.065   23:41:35.708   0.643      0.643      Paused by player, Unpause by player
19   1:10:14.663    23:41:35.983   23:41:36.812   0.829      0.829      Paused by player, Unpause by player
20   1:10:15.263    23:41:37.409   23:41:43.121   5.712      5.712      Paused by player, Unpause by player
21   1:10:15.613    23:41:43.459   23:41:45.493   2.034      2.034      Paused by player, Unpause by player
22   1:10:16.213    23:41:46.097   23:41:55.766   9.669      9.669      Paused by player, Unpause by player
23   1:10:17.213    23:41:56.747   23:41:57.294   0.547      0.547      Paused by player, Unpause by player
24   1:10:42.713    23:42:22.777   23:42:26.222   3.445      3.445      Paused by player, Unpause by player
25   1:11:09.163    23:42:52.659   23:42:54.413   1.754      1.754      Paused by player, Unpause by player
26   1:11:17.713    23:43:02.947   23:43:12.119   9.172      9.172      Paused by player, Unpause by player
27   1:11:37.063    23:43:31.427   23:43:32.103   0.676      0.676      Paused by player, Unpause by player
28   1:11:44.313    23:43:39.356   23:43:40.508   1.152      1.152      Paused by player, Unpause by player
29   1:12:02.763    23:43:58.938   23:44:11.796   12.858     12.858     Paused by player, Unpause by player
30   1:12:31.763    23:44:40.771   23:44:51.864   11.093     11.093     Paused by player, Unpause by player
31   1:12:51.163    23:45:11.244   23:45:16.727   5.483      5.483      Paused by player, Unpause by player
32   1:13:06.013    23:45:31.577   23:45:36.174   4.597      4.597      Paused by player, Unpause by player
33   1:13:12.663    23:45:42.778   23:45:48.040   5.262      5.262      Paused by player, Unpause by player
34   1:13:22.013    23:45:57.380   23:46:04.867   7.487      7.487      Paused by player, Unpause by player
35   1:13:41.513    23:46:24.320   23:46:29.682   5.362      5.362      Paused by player, Unpause by player
36   1:13:57.813    23:46:45.974   23:46:47.569   1.595      1.595      Paused by player, Unpause by player
37   1:14:01.213    23:46:50.969   23:46:51.923   0.954      0.954      Paused by player, Unpause by player
38   1:14:11.613    23:47:02.319   23:47:08.264   5.945      5.945      Paused by player, Unpause by player
39   1:14:17.063    23:47:13.714   23:47:19.312   5.598      5.598      Paused by player, Unpause by player
40   1:14:24.913    23:47:27.113   23:47:27.781   0.668      0.668      Paused by player, Unpause by player
41   1:16:17.263    23:49:20.117   23:49:21.510   1.393      1.393      Paused by player, Unpause by player
42   1:17:01.863    23:50:06.100   23:50:06.905   0.805      0.805      Paused by player, Unpause by player
43   1:17:52.163    23:50:57.193   23:50:57.598   0.405      0.405      Paused by player, Unpause by player
44   1:18:34.613    23:51:40.029   23:51:45.776   5.747      5.747      Paused by player, Unpause by player
45   1:18:35.113    23:51:46.260   23:51:49.559   3.299      3.299      Paused by player, Unpause by player
46   1:18:35.813    23:51:50.244   23:51:55.214   4.970      4.970      Paused by player, Unpause by player
47   1:18:36.813    23:51:56.184   23:51:58.746   2.562      2.562      Paused by player, Unpause by player
